"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"OECD members","OED","CO2 emissions (kt)","EN.ATM.CO2E.KT","5814252.62533666","5935865.40508993","6200226.12541728","6544791.54250776","6872941.42086974","7166296.46293215","7489475.06103081","7813581.90648153","8228863.26962502","8729584.64459734","9470660.20060044","9648471.13782026","10118139.5447078","10626501.4267737","10397261.4607051","10083212.691007","10606921.5959605","10824907.0785782","11114619.2654767","11409834.927787","11156237.7512","10742647.8610091","10389282.659021","10328381.3816373","10591859.2355942","10704890.8842705","10706017.1577243","11046188.8706817","11405387.5915846","11745150.875707","11335120","11381640","11414640","11514160","11709340","11864240","12243580","12507080","12510280","12561260","12882420","12900160","12796390","13022110","13151290","13190770","13124420","13294680","12976000","12207250","12688450","12449720","12262310","12321670","12094430","12032840","11961830","11924640","11998460","","",
"Oman","OMN","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","11.001","25.669","29.336","135.679","161.348","234.688","234.688","2093.857","2090.19","2112.192","2335.879","7256.993","8327.757","8507.44","7796.042","7722.702","6046.883","6017.547","5735.188","7532.018","8060.066","8661.454","9875.231","9464.527","10586.629","10065.915","11890","16100","14900","14080","13810","15600","15820","17240","17280","20430","22540","25280","26940","27670","27520","27870","37520","41030","40080","42730","46470","52380","58650","60990","64470","68300","69540","69900","73370","","",
"Other small states","OSS","CO2 emissions (kt)","EN.ATM.CO2E.KT","7440.48399609326","9275.12388554091","9465.52232307401","20168.6344901132","21826.702824206","21813.1247820137","21758.8126132442","24902.1293807738","29009.4871439603","28038.6571272071","47176.9075973274","51534.8320113539","61118.2881946848","73964.5913620062","65886.4778074762","65126.8231323231","66340.9140863625","70254.4921896067","81140.6149897919","84701.4962795721","80876.0923796939","70898.8421372811","73835.7213724713","67141.2645476845","72099.3678292642","75809.4670016638","77640.777379265","77932.4305134756","85372.9767513592","94400.6586498306","85989.7781562103","84153.8082245277","80081.6847384047","78639.0480259842","79805.4351551752","79672.4260965832","83550.1517278411","86640.0544735928","89034.217528248","91254.4456601292","91193.056863856","94999.1622327951","100841.329344796","108174.872793551","113843.558885556","128459.576538995","136421.697733148","145761.105042956","153260.779804115","151129.504939013","161514.44331472","166159.014011309","174865.070771582","180585.332084048","187039.475779308","185983.891530083","187944.262278644","192096.226992261","197072.552738607","","",
"Pakistan","PAK","CO2 emissions (kt)","EN.ATM.CO2E.KT","14154.62","14656.999","16105.464","18514.683","19035.397","19974.149","20326.181","21572.961","24737.582","23993.181","24337.879","23076.431","18929.054","20036.488","21418.947","23219.444","22838.076","24389.217","26138.376","28250.568","32067.915","34400.127","37385.065","40303.997","42856.229","47175.955","49453.162","53534.533","58213.625","60956.541","61050","60310","66920","73740","76250","82730","85820","89320","90170","98750","98370","99810","102300","105660","118650","121670","132480","146260","142160","145140","140620","141640","143750","145100","153670","163590","180570","197700","208370","","",
"Panama","PAN","CO2 emissions (kt)","EN.ATM.CO2E.KT","997.424","1103.767","1191.775","1184.441","1243.113","1529.139","1657.484","1697.821","2020.517","2053.52","2203.867","2603.57","2801.588","3241.628","3021.608","3663.333","3611.995","3461.648","2841.925","3193.957","3124.284","3340.637","3292.966","3494.651","2882.262","2629.239","2753.917","3201.291","2929.933","2522.896","2690","3130","3640","3800","4040","4360","4410","4640","5720","5010","5280","6220","5410","5530","5610","7120","7490","7480","7300","8700","9190","9990","10460","10610","11280","10700","10770","10250","10140","","",
"Peru","PER","CO2 emissions (kt)","EN.ATM.CO2E.KT","8173.743","8643.119","9970.573","10234.597","12266.115","11965.421","13256.205","13655.908","14502.985","15302.391","17784.95","18613.692","18173.652","19757.796","21360.275","21965.33","22442.04","23340.455","22460.375","22273.358","24121.526","24103.191","23670.485","20450.859","20692.881","19512.107","21847.986","25782.677","25107.949","21840.652","20630","19750","20690","21540","22360","25400","27740","27950","26640","28840","28430","26360","27550","26940","31300","31350","31080","34110","38560","41680","45570","48580","48370","49520","52810","53820","56530","53990","54280","","",
"Philippines","PHL","CO2 emissions (kt)","EN.ATM.CO2E.KT","8335.091","8723.793","10348.274","11485.044","12838.167","13982.271","16123.799","18232.324","22251.356","22860.078","24781.586","27586.841","26442.737","31543.534","30531.442","32526.29","35129.86","36754.341","37476.74","38136.8","37000.03","34664.151","34997.848","35415.886","30993.484","28048.883","29207.655","32683.971","37729.763","39141.558","40840","40360","43730","47460","51500","61800","67490","75330","74930","72430","73190","71670","72940","74770","76320","78100","70810","74560","76730","77520","83570","84470","88060","97800","104410","113670","124920","136590","142240","","",
"Palau","PLW","CO2 emissions (kt)","EN.ATM.CO2E.KT","14.668","51.338","51.338","55.005","58.672","66.006","66.006","73.34","77.007","132.012","135.679","165.015","172.349","176.016","194.351","194.351","113.677","183.35","110.01","124.678","157.681","157.681","157.681","157.681","157.681","161.348","161.348","161.348","183.35","227.354","0","0","200","200","200","200","200","200","200","200","210","220","220","220","230","260","250","240","210","200","210","220","210","220","220","220","260","270","290","","",
"Papua New Guinea","PNG","CO2 emissions (kt)","EN.ATM.CO2E.KT","179.683","201.685","198.018","256.69","267.691","304.361","341.031","436.373","502.379","557.384","693.063","825.075","1268.782","1345.789","1587.811","1532.806","1573.143","1580.477","1675.819","1796.83","1829.833","1932.509","1947.177","2009.516","2046.186","2126.86","2064.521","2335.879","2200.2","2035.185","2170","2180","2180","2210","2050","2130","2230","2400","2650","2600","2820","3380","3610","4070","4910","4880","4740","5040","4740","5010","5020","5150","4900","5230","5870","6430","7630","7700","7460","","",
"Poland","POL","CO2 emissions (kt)","EN.ATM.CO2E.KT","199767.159","207434.856","216815.042","231219.018","243114.766","247221.806","252678.302","259282.569","276073.762","293653.36","304441.674","313246.141","329952.993","336128.221","346876.198","375559.472","399035.606","419024.423","432056.941","442489.556","464575.897","410062.275","422211.046","422339.391","433894.108","445899.866","453369.545","465353.301","445976.873","423787.856","350220","351630","343370","344020","339750","340000","355320","344630","318410","308980","295710","293600","287280","297700","301820","301350","314090","313370","308320","297260","313740","310590","303350","298330","285740","289050","299740","312820","312740","","",
"Pre-demographic dividend","PRE","CO2 emissions (kt)","EN.ATM.CO2E.KT","29368.2395862645","31327.2220049522","32675.826743712","35187.7680560831","38477.9993816314","56446.5693872093","67496.6997286034","59237.0439744325","57098.549430953","70998.7639635699","84500.3392694405","103687.180556757","115616.552557142","128082.410993523","142966.18399213","129259.700672512","149437.551626318","140656.311837153","140339.635815906","175911.667002565","170990.149072362","153602.772705779","151784.679783796","154031.216734524","164634.275045923","171310.550693859","171720.366721355","169138.52574813","199103.528558593","180006.101677276","184055.01534866","173295.782556971","203470.401434511","227648.414857924","236589.717935261","239965.516035888","250650.474588625","268117.441938117","227293.601243743","212290.054129844","225894.621850691","246737.38730081","247294.951551665","249108.306036436","261052.132503169","291494.200808963","290400.109834911","288769.103845816","308381.697602893","323101.273392684","362843.114977919","393254.791867768","415673.526363849","441800.768949695","461688.971381734","455631.650844057","472632.530486471","479921.506200142","513004.571870087","","",
"Puerto Rico","PRI","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Dem. People's Rep.","PRK","CO2 emissions (kt)","EN.ATM.CO2E.KT","23817.165","26457.405","30722.126","32863.654","35657.908","44268.024","47648.998","52445.434","59328.393","64143.164","73552.686","107560.444","89599.478","97428.523","101718.913","107740.127","110189.683","113867.684","108451.525","110571.051","114439.736","114799.102","117344","125668.09","135220.625","144897.838","157504.984","176423.037","201908.687","214636.844","123370","117350","104700","96710","88760","83420","74010","67520","60940","66580","71820","74390","71200","72740","74320","77590","78940","65640","72830","55360","51620","37040","38500","27820","31420","25300","30090","22380","18120","","",
"Portugal","PRT","CO2 emissions (kt)","EN.ATM.CO2E.KT","8225.081","9090.493","9303.179","10025.578","11023.002","11598.721","11851.744","12409.128","13010.516","14612.995","15258.387","16406.158","18349.668","20003.485","20714.883","21356.608","22423.705","22728.066","22742.734","25030.942","26985.453","27227.475","29255.326","30179.41","29064.642","27407.158","30520.441","31536.2","32925.993","41209.746","41070","42770","46770","45790","47300","50690","48740","50930","55600","62210","61660","61380","65610","60520","62130","65470","60450","58800","56840","56300","50940","49870","48220","46560","45930","49850","48760","53330","49780","","",
